Number,Project Title,Donor (s),Status,Start Date,End Date,Country,Ocean-based Region,Beneficiaries ,Implementing Agency,Total Project Cost,Co-funding entities,Category,Team Leader,Further Information
1,"Local governance and capacity for integrated coastal development in Laborie, St. Lucia",GEF Small Grants Programme,Closed,2004,2008,Barbados,Atlantic Ocean,,Laborie Development Foundation Inc.,"US$ 75,627","Grant - US$ 32,081; Co-financing - US$ 43,546",Policy and Legislation (PL),,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=8000&Itemid=272
2,Strengthening environmental stewardship among major stakeholders in Grenadine Islands,GEF Small Grants Programme,Closed,2005,2007,Barbados,Atlantic Ocean,,Carriacou Environmental Committee,"US$ 95,100","Grant - US$ 50,000; Co-financing - US$ 45,100",Communications and Awareness (CA),,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=8070&Itemid=272
3,Permanent mooring buoys (rescue the reef),GEF Small Grants Programme,Closed,1994,1998,Barbados,Atlantic Ocean,,Professional Association of Dive Operators,"US$ 66,187","Grant - US$ 10,000; Co-financing - US$ 56,187",Marine Protected Areas (PA) management,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=3826&Itemid=272
4,Speyside Marine Area Community-Based Management Project (SMACMP),GEF Small Grants Programme,Closed,2008,2009,Trinidad and Tobago,Atlantic Ocean,,Buccoo Reef Trust,"US$ 348,528","Grant - US$ 50,000; Co-financing - US$ 298,528",Communications and Awareness (CA),,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=12978&Itemid=272
5,Knowledge Base for Lessons Learned and Best Practices in the Management of Coral Reefs,GEF Trust Fund,Closed,2005,2009,Global,Global,,"UN Environment Programme, World Fish Center","US$ 1,914,000","GEF - US$ 940,000, Co-financing US$ 949,000",Communications and Awareness (CA),,https://www.thegef.org/project/knowledge-base-lessons-learned-and-best-practices-management-coral-reefs
6,"CTI GEF IW: LEARN: Portfolio Learning in International Waters with a Focus on Oceans, Coasts, and Islands and Regional Asia/ Pacific and Coral Triangle Learning Processes - under the Coral Triangle Initiative",GEF Trust Fund,Closed,2008,2009,Global,Global,,"UN Development Programme, UNOPS","US$ 5,969,000","GEF - US$ 2,700,000, Co-financing - US$ 3,034,000",Promoting sustainable living and alternative livelihoods (SL),,https://www.thegef.org/project/cti-gef-iw-learn-portfolio-learning-international-waters-focus-oceans-coasts-and-islands-and
7,Coral Reef Rehabilitation Research & Conservation,UNDP,Closed,1995,1996,Jordan,Indian Ocean,,Grantee: Jordan Royal Ecological Diving Society,"Grant amount: US$ 50,000; Co-financing cash: US$ 4,000; Co-financing in-kind: US$ 36,000",,Monitoring & Research,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=1003&Itemid=272
8,Environment Program Support Project,GEF Trust Fund,Closed,1996,2003,Madagascar,Indian Ocean,,UN Deveopment Programme; National Association for the Management of Protected Areas(ANGAP); National Environment Office (ONE); Directorate of Water and Forests (DEF),"US$ 155,000,000","Grant  - US$ 20,800.000, Co-financing US$ 134,200,000",Marine Protected Areas (PA) management,,https://www.thegef.org/project/environment-program-support-project
9,"Coral Reef Monitoring Network in Member States of the Indian Ocean Commission (COI), within the Global Reef Monitoring Network (GCRMN)",GEF Trust Fund,Closed,2000,2005,Regional,Indian Ocean,,"The World Bank, The Indian Ocean Commission (COI)","US$ 1,361,087","Grant  - US$ 737,240, Co-financing US$ 623,847",Promoting sustainable living and alternative livelihoods (SL),,https://www.thegef.org/project/coral-reef-monitoring-network-member-states-indian-ocean-commission-coi-within-global-reef
10,Coral reefs protection in the South of Red Sea,UNDP,Closed,2002,2005,Egypt,Indian Ocean,,Grantee: The Environmental Promoters Association in Alexandria,"US$ 26,665","US$ 3,111",Communications and Awareness (CA),,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=5983&Itemid=272
